product_page_url,product_tile,shop_name,add_to_wishlist_number,brand_name,image_url,price,category,number_of_reviews,review_score,number_of_orders
"https://www.aliexpress.com/item/LANSHANQUE-Black-Pink-Color-Patchwork-Hoodie-Pullover-Woman-Long-Sleeve-Hooded-Sweatshirt-2018-Kpop-Autumn-Harajuku/32906493600.html?ws_ab_test=searchweb0_0,searchweb201602_5_10065_10068_10890_319_10546_10059_10884_317_10548_10887_10696_100031_321_322_10084_453_10083_454_10103_10618_10307_537_536,searchweb201603_51,ppcSwitch_0&algo_expid=74ccb535-15a7-44ac-8e4a-c30cc596bb91-10&algo_pvid=74ccb535-15a7-44ac-8e4a-c30cc596bb91",LANSHANQUE Black Pink Color Patchwork Hoodie Pullover Woman Long Sleeve Hooded Sweatshirt 2018 Kpop Autumn Harajuku Tracksuit,Shop3244075 Store,,LAN SHAN QUE,https://ae01.alicdn.com/kf/HTB1pC67A8mWBuNkSndVq6AsApXay/LANSHANQUE-Black-Pink-Color-Patchwork-Hoodie-Pullover-Woman-Long-Sleeve-Hooded-Sweatshirt-2018-Kpop-Autumn-Harajuku.jpg_640x640.jpg,17.98,Hoodies & Sweatshirts,193,193,769
"https://www.aliexpress.com/item/Gradient-Lens-Fashion-Rimless-Women-Sunglasses-for-Men-Vintage-Glasses-Cute-Cool-Retro-Black-Glasses-oculos/32958047053.html?s=p&ws_ab_test=searchweb0_0,searchweb201602_5_10065_10068_10890_319_10546_10059_10884_317_10548_10887_10696_100031_321_322_10084_453_10083_454_10103_10618_10307_537_536,searchweb201603_51,ppcSwitch_0&algo_expid=74ccb535-15a7-44ac-8e4a-c30cc596bb91-11&algo_pvid=74ccb535-15a7-44ac-8e4a-c30cc596bb91",Gradient Lens Fashion Rimless Women Sunglasses for Men Vintage Glasses Cute Cool Retro Black Glasses oculos de sol sonnenbrille ,Feng Freedom Store,,ROBESBON,https://ae01.alicdn.com/kf/HTB1n3toX5DxK1RjSsphq6zHrpXaR/Gradient-Lens-Fashion-Rimless-Women-Sunglasses-for-Men-Vintage-Glasses-Cute-Cool-Retro-Black-Glasses-oculos.jpg_640x640.jpg,9.75 - 10.00,Sunglasses,,,4
"https://www.aliexpress.com/item/Gogoyouth-2018-Loose-Autumn-Winter-Sweatshirt-Female-Bts-Kpop-Zipper-Hoodies-Women-Turtleneck-Long-Sleeve-Pullover/32855594667.html?ws_ab_test=searchweb0_0,searchweb201602_5_10065_10068_10890_319_10546_10059_10884_317_10548_10887_10696_100031_321_322_10084_453_10083_454_10103_10618_10307_537_536,searchweb201603_51,ppcSwitch_0&algo_expid=74ccb535-15a7-44ac-8e4a-c30cc596bb91-12&algo_pvid=74ccb535-15a7-44ac-8e4a-c30cc596bb91",Gogoyouth 2018 Loose Autumn Winter Sweatshirt Female Bts Kpop Zipper Hoodies Women Turtleneck Long Sleeve Pullover Sweat Femme,Surmiitro. Store,,SURMIITRO,https://ae01.alicdn.com/kf/HTB1uj4XyiCYBuNkSnaVq6AMsVXax/Gogoyouth-2018-Loose-Autumn-Winter-Sweatshirt-Female-Bts-Kpop-Zipper-Hoodies-Women-Turtleneck-Long-Sleeve-Pullover.jpg_640x640.jpg,21.65,Hoodies & Sweatshirts,78,78,292
"https://www.aliexpress.com/item/2018-Spring-Autumn-Korean-Women-S-Fashion-Long-Pullover-Plus-Velvet-Checkered-Embroidery-Letters-Hoodies-Top/32861913408.html?ws_ab_test=searchweb0_0,searchweb201602_5_10065_10068_10890_319_10546_10059_10884_317_10548_10887_10696_100031_321_322_10084_453_10083_454_10103_10618_10307_537_536,searchweb201603_51,ppcSwitch_0&algo_expid=74ccb535-15a7-44ac-8e4a-c30cc596bb91-13&algo_pvid=74ccb535-15a7-44ac-8e4a-c30cc596bb91",2018 Spring Autumn Korean Women'S Fashion Long Pullover Plus Velvet Checkered Embroidery Letters Hoodies Top Plaid Sweatshirt,ESOGO,,lunoakvo,https://ae01.alicdn.com/kf/HTB13QmTkY9YBuNjy0Fgq6AxcXXaF/2018-Spring-Autumn-Korean-Women-S-Fashion-Long-Pullover-Plus-Velvet-Checkered-Embroidery-Letters-Hoodies-Top.jpg_640x640.jpg,33.00,Hoodies & Sweatshirts,63,63,386
"https://www.aliexpress.com/item/BTS-Hoodie-Jungkook-Suga-jimin-Sweatshirt-Women-Hoodies-Love-Yourself-Bts-Print-Sweatshirt-Women-Pullovers-Kpop/32923105695.html?ws_ab_test=searchweb0_0,searchweb201602_5_10065_10068_10890_319_10546_10059_10884_317_10548_10887_10696_100031_321_322_10084_453_10083_454_10103_10618_10307_537_536,searchweb201603_51,ppcSwitch_0&algo_expid=74ccb535-15a7-44ac-8e4a-c30cc596bb91-14&algo_pvid=74ccb535-15a7-44ac-8e4a-c30cc596bb91",BTS Hoodie Jungkook Suga jimin Sweatshirt Women Hoodies Love Yourself Bts Print Sweatshirt Women Pullovers Kpop Bangtan Boys top,Shop4447029 Store,,DAYUHU,https://ae01.alicdn.com/kf/HTB1veKuXojrK1RkHFNRq6ySvpXaj/BTS-Hoodie-Jungkook-Suga-jimin-Sweatshirt-Women-Hoodies-Love-Yourself-Bts-Print-Sweatshirt-Women-Pullovers-Kpop.jpg_640x640.jpg,9.99 - 16.20,Hoodies & Sweatshirts,177,177,860
"https://www.aliexpress.com/item/Winter-Christmas-Dresses-Women-50S-60S-Vintage-Robe-Swing-Pinup-Elegant-Party-Dress-Long-Sleeve-Casual/32947865801.html?ws_ab_test=searchweb0_0,searchweb201602_5_10065_10068_10890_319_10546_10059_10884_317_10548_10887_10696_100031_321_322_10084_453_10083_454_10103_10618_10307_537_536,searchweb201603_51,ppcSwitch_0&algo_expid=74ccb535-15a7-44ac-8e4a-c30cc596bb91-15&algo_pvid=74ccb535-15a7-44ac-8e4a-c30cc596bb91",Winter Christmas Dresses Women 50S 60S Vintage Robe Swing Pinup Elegant Party Dress Long Sleeve Casual Plus Size Print Black,Tomorrow Store,,Junxi Wan,https://ae01.alicdn.com/kf/HTB13ibCXzzuK1RjSsppq6xz0XXaI/Winter-Christmas-Dresses-Women-50S-60S-Vintage-Robe-Swing-Pinup-Elegant-Party-Dress-Long-Sleeve-Casual.jpg_640x640.jpg,13.77 - 20.65,Dresses,145,145,2864
"https://www.aliexpress.com/item/2017-New-Fashion-Cute-Cartoon-Printed-Back-Velvet-Thick-Hooded-Long-Sleeve-Female-Sweatshirts/32844542652.html?ws_ab_test=searchweb0_0,searchweb201602_5_10065_10068_10890_319_10546_10059_10884_317_10548_10887_10696_100031_321_322_10084_453_10083_454_10103_10618_10307_537_536,searchweb201603_51,ppcSwitch_0&algo_expid=74ccb535-15a7-44ac-8e4a-c30cc596bb91-16&algo_pvid=74ccb535-15a7-44ac-8e4a-c30cc596bb91",2017 New Fashion Cute Cartoon Printed Back Velvet Thick Hooded Long Sleeve Female Sweatshirts,Eyam Fashion,,Octeyam,https://ae01.alicdn.com/kf/HTB1jwdVcwjN8KJjSZFgq6zjbVXaI/2017-New-Fashion-Cute-Cartoon-Printed-Back-Velvet-Thick-Hooded-Long-Sleeve-Female-Sweatshirts.jpg_640x640.jpg,12.80,Hoodies & Sweatshirts,102,102,497
"https://www.aliexpress.com/item/Ariana-Grande-Sweatshirt-No-Tears-Left-To-Cry-Hoodie-Women-Cartoon-Print-Harajuku-God-Is-A/32955355184.html?ws_ab_test=searchweb0_0,searchweb201602_5_10065_10068_10890_319_10546_10059_10884_317_10548_10887_10696_100031_321_322_10084_453_10083_454_10103_10618_10307_537_536,searchweb201603_51,ppcSwitch_0&algo_expid=74ccb535-15a7-44ac-8e4a-c30cc596bb91-17&algo_pvid=74ccb535-15a7-44ac-8e4a-c30cc596bb91",Ariana Grande Sweatshirt No Tears Left To Cry Hoodie Women Cartoon Print Harajuku God Is A Woman Sweatshirts Pullover Warm Tops,Fashionmaker Bag Store,,FASXXION,https://ae01.alicdn.com/kf/HLB1vyTOXzLuK1Rjy0Fhq6xpdFXa7/Ariana-Grande-Sweatshirt-No-Tears-Left-To-Cry-Hoodie-Women-Cartoon-Print-Harajuku-God-Is-A.jpg_640x640.jpg,16.45,Hoodies & Sweatshirts,2,2,98
"https://www.aliexpress.com/item/Printed-Planet-coat-female-Spring-Fashion-moletom-feminino-Long-Sleeve-Sweatshirt-Hoodie-Causal-Tops-hoodies-women/32854330127.html?ws_ab_test=searchweb0_0,searchweb201602_5_10065_10068_10890_319_10546_10059_10884_317_10548_10887_10696_100031_321_322_10084_453_10083_454_10103_10618_10307_537_536,searchweb201603_51,ppcSwitch_0&algo_expid=74ccb535-15a7-44ac-8e4a-c30cc596bb91-18&algo_pvid=74ccb535-15a7-44ac-8e4a-c30cc596bb91",Printed Planet coat female Spring Fashion moletom feminino Long Sleeve Sweatshirt Hoodie Causal Tops hoodies women,Myzone Store,,MUQGEW,https://ae01.alicdn.com/kf/HTB1DzNMbBsmBKNjSZFFq6AT9VXaK/Printed-Planet-coat-female-Spring-Fashion-moletom-feminino-Long-Sleeve-Sweatshirt-Hoodie-Causal-Tops-hoodies-women.jpg_640x640.jpg,5.66 - 29.28,Hoodies & Sweatshirts,118,118,462
"https://www.aliexpress.com/item/Pink-Cropped-Hoodies-Drawstring-Kawaii-Women-Letters-Print-Long-Sleeve-Hooded-Sweatshirt-2018-Autumn-Graphic-Sweet/32919386333.html?ws_ab_test=searchweb0_0,searchweb201602_5_10065_10068_10890_319_10546_10059_10884_317_10548_10887_10696_100031_321_322_10084_453_10083_454_10103_10618_10307_537_536,searchweb201603_51,ppcSwitch_0&algo_expid=74ccb535-15a7-44ac-8e4a-c30cc596bb91-20&algo_pvid=74ccb535-15a7-44ac-8e4a-c30cc596bb91",Pink Cropped Hoodies Drawstring Kawaii Women Letters Print Long Sleeve Hooded Sweatshirt 2018 Autumn Graphic Sweet Hoodies hot,XIAOYUHAN Store,,Srogem,https://ae01.alicdn.com/kf/HTB1ansiKeGSBuNjSspbq6AiipXa0/Pink-Cropped-Hoodies-Drawstring-Kawaii-Women-Letters-Print-Long-Sleeve-Hooded-Sweatshirt-2018-Autumn-Graphic-Sweet.jpg_640x640.jpg,8.00 - 16.00,Hoodies & Sweatshirts,4,4,47
